policy_item_id,policy_id,policy_insured_value_excl_vat,policy_insured_value_vat,broker_fee_excl_vat,broker_fee_vat,line_of_business_id
c5e4987c-6c6b-4a73-aebc-be91515fb2b4,8045a7ac-8532-4d3b-9a5f-44508050ba1f,115087,17263.05,23017.4,3452.61,0
fc8b51ea-cd7f-4f85-ac05-99b2364868ba,8045a7ac-8532-4d3b-9a5f-44508050ba1f,24874,3731.1,4974.8,746.22,1
c81b40ab-4ee9-4408-bade-c5a3e0ca5a1c,8045a7ac-8532-4d3b-9a5f-44508050ba1f,133518,20027.7,26703.600000000002,4005.54,2
8765eca1-5e8b-4fe5-8e1a-f08ffc515dea,8045a7ac-8532-4d3b-9a5f-44508050ba1f,10422,1563.3,2084.4,312.66,3
e7b1ff8e-2d62-4187-b8ac-8b66fd3a4272,8045a7ac-8532-4d3b-9a5f-44508050ba1f,,,19476.4,2921.46,4
49de37a0-d092-475d-ae37-38dc11095e19,8045a7ac-8532-4d3b-9a5f-44508050ba1f,72392,10858.8,,,5
c3395f17-2f19-47d5-9792-4ce5832e4c2f,8045a7ac-8532-4d3b-9a5f-44508050ba1f,58969,8845.35,11793.800000000001,1769.0700000000002,6
b0a12e4d-e3c5-49bc-8d3a-6ca8f55c5d98,8045a7ac-8532-4d3b-9a5f-44508050ba1f,7741,1161.1499999999999,1548.2,232.23,7
d4c02993-08c2-4f80-b4c0-33a3dfe17cf8,8045a7ac-8532-4d3b-9a5f-44508050ba1f,5983,897.4499999999999,1196.6000000000001,179.49,8
1a93d439-fa1a-4960-b11e-649cb891d051,8045a7ac-8532-4d3b-9a5f-44508050ba1f,,,22225.600000000002,3333.84,9
309d3cd3-b159-4127-82fa-7aecef5af9e6,8045a7ac-8532-4d3b-9a5f-44508050ba1f,26408,3961.2,5281.6,792.24,10
d99dac98-b58f-476e-a316-94aa46da82c6,8045a7ac-8532-4d3b-9a5f-44508050ba1f,5220,783.0,1044.0,156.6,11
1edd36ab-c5d8-453b-8256-5431a6ce66a1,8045a7ac-8532-4d3b-9a5f-44508050ba1f,96619,14492.85,6785.92079292581,1017.8881189388715,12
cd0e2d75-9040-4c1f-b6fa-28dc59f34047,8045a7ac-8532-4d3b-9a5f-44508050ba1f,24064,3609.6,4812.8,721.92,13
06919caa-c4b0-4ef7-928a-9914fcdb86e9,8045a7ac-8532-4d3b-9a5f-44508050ba1f,72404,10860.6,14480.800000000001,2172.12,14
b4b2b4aa-a2be-4ce5-b13c-db16f6bd05fb,8045a7ac-8532-4d3b-9a5f-44508050ba1f,39324,5898.599999999999,7864.8,1179.72,15
88852bc3-dcfa-450a-8d15-3879fb2663df,8045a7ac-8532-4d3b-9a5f-44508050ba1f,91422,13713.3,5416.62144213206,812.493216319809,16
b6d2d71b-6834-4040-8e83-8ac328521cf0,8045a7ac-8532-4d3b-9a5f-44508050ba1f,134744,20211.6,26948.800000000003,4042.32,17
b48788b3-1c5d-4c9d-8348-ceaa743e03b7,8045a7ac-8532-4d3b-9a5f-44508050ba1f,118129,17719.35,23625.800000000003,3543.8700000000003,18
1b72a807-bf97-4e5f-b697-38f7a03bf008,eca53aee-d729-44c0-8d69-b56afe51a8cb,124779,18716.85,,,0
a036c618-f224-42f7-a0f9-05840f6d3518,eca53aee-d729-44c0-8d69-b56afe51a8cb,129865,19479.75,25973.0,3895.95,1
03a81577-df9a-4d47-b6b8-7295bc41bbcc,eca53aee-d729-44c0-8d69-b56afe51a8cb,9141,1371.1499999999999,1828.2,274.23,2
7ea540d8-d492-4a8f-8afe-2e1e64bdfc5f,eca53aee-d729-44c0-8d69-b56afe51a8cb,59254,8888.1,11850.800000000001,1777.6200000000001,3
72f92bcd-8dc9-45e9-97b2-235e174a3917,eca53aee-d729-44c0-8d69-b56afe51a8cb,79758,11963.699999999999,15951.6,2392.74,4
11b54a0e-706c-4f2e-a368-3fd133d88ef6,eca53aee-d729-44c0-8d69-b56afe51a8cb,147360,22104.0,6214.750893272008,932.2126339908012,5
8814d291-c14d-4b6a-8d4a-72d18f64ee59,eca53aee-d729-44c0-8d69-b56afe51a8cb,120846,18126.899999999998,24169.2,3625.38,6
d50c4990-1c3c-4d4b-9d07-589cc7f15bd1,eca53aee-d729-44c0-8d69-b56afe51a8cb,30552,4582.8,6110.400000000001,916.5600000000001,7
aaf740e2-4615-41d3-8fae-98faa6582355,eca53aee-d729-44c0-8d69-b56afe51a8cb,67256,10088.4,8211.436218289275,1231.7154327433911,8
8cb95cd8-4751-4940-b0a2-c97546757a56,eca53aee-d729-44c0-8d69-b56afe51a8cb,87844,13176.6,17568.8,2635.3199999999997,9
16f8f9d2-c6e9-4398-bacc-2ed2a5d51476,ab38b506-81b2-4102-88b4-d8aff9627541,8781,1317.1499999999999,1756.2,263.43,0
90497255-ccdd-4ee0-a013-36bd203709ef,ab38b506-81b2-4102-88b4-d8aff9627541,58957,8843.55,11791.400000000001,1768.7100000000003,1
e9906769-4efe-4f3e-8e31-5b3fa99006bb,ab38b506-81b2-4102-88b4-d8aff9627541,47078,7061.7,9415.6,1412.34,2
5ee0a30e-b148-4bf7-97a0-638047fb4d0f,ab38b506-81b2-4102-88b4-d8aff9627541,33089,4963.349999999999,1393.8015217758657,209.07022826637984,3
17d5e106-b0ae-477c-8174-b5893733f82c,ab38b506-81b2-4102-88b4-d8aff9627541,126382,18957.3,25276.4,3791.46,4
